sockdude1	ICs	https://youtu.be/XuqxOobHEQI	6.21	8/17	x		Zelda	FALSE	TRUE	$0	1
sockdude1	ICs	https://youtu.be/TGop3hnh4pE	6.99	8/18	x		Marth	FALSE	TRUE	$1	0
Gibrani	GNW	https://youtu.be/m1z1BkneYqE	5.43	8/18		19	Zelda	FALSE	TRUE	$0	1
sockdude1	DK	https://youtu.be/GNP8xCpTkYA	9.82	8/19	x		Marth	FALSE	TRUE	$1	0
megaqwertification	Pika	https://youtu.be/MZAbMejo7es	7.40	8/19	x		Marth	FALSE	FALSE	$1	0
sockdude1	Ness	https://youtu.be/U3ULhtx4zC0	9.82	8/19	x		Marth	FALSE	TRUE	$1	0
sockdude1	FWF	https://youtu.be/w1Mrgw3w_AI	9.95	8/19	x		Marth	FALSE	TRUE	$1	0
Gibrani	Mario	https://youtu.be/pkV7Ky47qbY	4.88	8/19			Zelda	FALSE	TRUE	$0	0
Gibrani	Doc	https://youtu.be/ExmCxFNSNCM	5.41	8/19		17	Zelda	FALSE	TRUE	$0	1
sockdude1	Puff	https://youtu.be/GYhscKVReic	9.97	8/20	x		Marth	FALSE	TRUE	$1	0
sockdude1	Popo	https://www.youtube.com/watch?v=g2ECL3crTRM	7.77	8/21	x		Marth	FALSE	TRUE	$1	0
Judge9	Sheik	https://youtu.be/nM-KCyCMZ8g	6.80	8/21	x		Marth	FALSE	FALSE	$1	0
jenkem66	Sheik	https://youtu.be/YSlTtmPsWik	6.48	8/22		19	Marth	FALSE	TRUE	$0	1
Gibrani	Pika	https://youtu.be/6aTze4AGbhs	7.23	8/22		10	Marth	FALSE	TRUE	$0	1
Gibrani	Link	https://youtu.be/vwOv27ejeSc	4.63	8/22	x		Marth	FALSE	TRUE	$1	0
Judge9	Luigi	https://youtu.be/hWlsPaG_bp4	9.11	8/23	x		Marth	FALSE	FALSE	$1	0
Gibrani	YL	https://youtu.be/lCa-VGFnp-U	4.77	8/23	x		Marth	FALSE	TRUE	$1	0
jenkem66	Falco	https://youtu.be/5iYaH3Fo1QY	4.77	8/23			Marth	FALSE	TRUE	$0	0
jenkem66	Luigi	https://youtu.be/N9Xv92ypxLQ	8.75	8/23		22	Marth	FALSE	TRUE	$0	1
